P03265	DP00003
P32504	DP02033
P62805	DP02034
A6QHR2	DP02035
Q98325	DP02042
O74774	DP02049
P41814	DP02050
P14335	DP02051
P33322	DP02055
P70447	DP02061
Q7L804	DP02062
Q9Y7M4	DP02065
Q9FG31	DP02066
O74499	DP02067
O14352	DP02068
P38919	DP02069
P04383	DP02071
Q13415	DP02072
P33411	DP02073
P28300	DP02075
O69245	DP02076
C6ECL5	DP02077
P02686-5	DP02078
E1BSW7	DP02079
Q9JPP1	DP02086
P49427	DP02094
P28698	DP02096
P27472	DP02097
P60604	DP02100
P74518	DP02105
O94316	DP02109
P19836	DP02118
Q00944	DP02120
Q02199	DP02122
P52948	DP02123
Q03281	DP02124
P30307	DP02126
P0AG30	DP02127
P06437	DP02128
O94444	DP02129
P02671	DP02130
P04386	DP02132
P0ABS5	DP02134
P0AGE0	DP02137
P63159	DP02138
Q2TAZ0	DP02142
O67086	DP02143
P32337	DP02144
P47054	DP02145
Q676U5	DP02148
Q24570	DP02149
Q9HD26	DP02150
Q925J9	DP02151
P49687	DP02155
P46673	DP02156
P35729	DP02157
P36161	DP02158
P32566	DP02159
P61328-2	DP02160
P16050	DP02162
Q02388	DP02163
Q8WUM0	DP02164
F0ZBA6	DP02165
Q8N726-1	DP02167
Q72J05	DP02168
P37028	DP02169
O15234	DP02170
P08621	DP02171
Q9BS26	DP02173
P52695	DP02188
P51965	DP02191
O00571	DP02192
P21734	DP02193
P68466	DP02194
P53136	DP02195
P37455	DP02196
P0ADV9	DP02197
P0A9A6	DP02201
P17865	DP02202
Q9Q6P4	DP02203
Q5UB51	DP02204
Q2TUW1	DP02205
P15516	DP02206
P02808	DP02207
A0A140GKJ0	DP02208
O82132	DP02209
Q03519	DP02210
P05769	DP02212
Q93P54	DP02215
Q9U3S5	DP02216
P32521	DP02220
P29375	DP02224
Q9SQQ6	DP02225
P24385	DP02226
Q02821	DP02227
Q99958	DP02231
Q13547	DP02233
P08476	DP02234
P10721	DP02247
Q8RWK8	DP02248
P38862	DP02249
P68363	DP02251
Q96F86	DP02253
P14598	DP02254
P26554	DP02256
Q9JLC3	DP02258
P02309	DP02260
P13848	DP02261
P42226	DP02262
P32120	DP02263
Q12306	DP02264
Q8IVG9	DP02267
Q9Y6K9	DP02269
P29131	DP02271
Q7KLE5	DP02272
Q92905	DP02290
P04486	DP02291
Q96PU5	DP02292
P63165	DP02294
Q05471	DP02295
P60761	DP02296
P50498	DP02299
Q71UI9	DP02301
Q15843	DP02302
Q0JRZ9	DP02303
Q9Y5X1	DP02304
Q8ILA1	DP02305
Q8TBC4	DP02306
Q96RF0	DP02309
Q7DD77	DP02311
Q8T9B6	DP02312
Q8IG33	DP02313
Q9ERE7	DP02314
O43663	DP02316
Q03689	DP02317
O14672	DP02318
P0C8E0	DP02320
P0C8E1	DP02321
A0LU48	DP02322
Q5L0X5	DP02323
P53865	DP02324
O60200	DP02325
Q05776	DP02326
Q00169	DP02327
P53779	DP02328
K7J0R2	DP02329
C4PB33	DP02330
O17428	DP02331
Q9BUQ8	DP02332
P13861	DP02333
Q98148	DP02334
O46385	DP02337
O60701	DP02338
A0A3N4AZ09	DP02340
A0A178W0D3	DP02341
Q92804	DP02345
Q9BTL3	DP02346
P51825	DP02349
P0DMV9	DP02353
P36080	DP02355
P78794	DP02356
O14187	DP02357
Q8IYB3	DP02359
O14810	DP02360
Q13464	DP02365
P29536	DP02368
Q00780	DP02369
O08583	DP02371
Q88MI5	DP02372
Q92837	DP02373
Q96T58	DP02375
Q09260	DP02378
O23661	DP02380
O60706-2	DP02381
Q15046	DP02382
P08631	DP02383
P82804	DP02384
Q9NYB9	DP02386
P70429	DP02387
Q96GD4	DP02389
Q9NQS7	DP02390
Q9Y580	DP02391
Q9ZVD0	DP02392
P35201	DP02395
Q7RTP6	DP02396
P11746	DP02397
Q04637	DP02398
P06730	DP02399
P48598	DP02400
Q96N21	DP02404
Q9P2K3-3	DP02408
Q9BTT0	DP02409
P21952	DP02410
O88513	DP02412
P04198	DP02413
P14653	DP02414
P54274	DP02415
P49765	DP02417
Q5SQI0	DP02419
Q86YV5	DP02420
O35254	DP02422
Q5RJI5	DP02423
Q80VW5	DP02426
Q9BVI0	DP02427
Q5T4W7	DP02428
Q9WTY2	DP02429
P15391	DP02431
Q8IU57	DP02446
P46938	DP02451
Q8TEA8	DP02452
Q9UKX7	DP02455
O35625	DP02456
P17181	DP02458
Q23985	DP02460
P17105	DP02461
Q9NRR4	DP02463
Q12476	DP02464
Q12432	DP02466
P51617	DP02467
Q96G97	DP02471
Q15642	DP02473
Q12000	DP02474
Q86UE8	DP02475
P36106	DP02476
Q01970	DP02477
Q6SJQ7	DP02478
O60502	DP02479
Q12102	DP02480
P46674	DP02481
Q8ZRP0	DP02483
P0AD27	DP02484
P40709	DP02485
A7ZUK2	DP02486
P22473	DP02487
O28769	DP02488
Q9YIJ1	DP02489
D1A4G7	DP02490
Q9WBP8	DP02491
Q808Y3	DP02492
P21401	DP02493
O56139	DP02494
Q928V6	DP02495
P56926	DP02496
A7YK37	DP02498
A0KJC7	DP02499
Q5A3P6	DP02500
P00800	DP02501
A0R1T8	DP02502
Q28146	DP02503
P35828	DP02504
O53168	DP02505
Q8A6W3	DP02506
Q84852	DP02507
P12537	DP02508
P0DOC6	DP02509
P09327	DP02510
P02640	DP02511
Q05022	DP02513
P36594	DP02514
Q13740	DP02515
P56287	DP02516
Q64487-12	DP02517
Q8ZRW0	DP02518
Q01080	DP02519
G0S3L5	DP02520
A5HC98	DP02521
Q9BE39	DP02522
Q9UKL0	DP02523
A5YKK6	DP02524
P9WGI1	DP02525
C4R4Y0	DP02526
P04050	DP02527
Q80UG2	DP02528
Q92558	DP02529
P18564	DP02530
S6B291	DP02531
P56696	DP02533
O70201	DP02534
P15825	DP02536
Q16790	DP02538
Q16611	DP02539
Q07812	DP02540
P0ACN7	DP02541
P07948	DP02545
Q9Y6G9	DP02547
P0AES9	DP02548
O82775	DP02549
Q8VY98	DP02550
Q8NBP7	DP02551
P43629	DP02552
Q6P5W5	DP02554
Q15109	DP02555
P60880	DP02561
P10081	DP02562
Q15717	DP02564
P04616	DP02568
Q8R1S4	DP02569
Q8BPB0	DP02570
P55042	DP02572
Q8VEL9	DP02573
P39905	DP02574
P83755	DP02575
P56777	DP02576
P23321	DP02577
Q16647	DP02578
Q8VDQ1	DP02579
P28827	DP02580
F1RAX4	DP02583
F1QGH7	DP02584
P10761	DP02586
Q96PM5	DP02587
P47273	DP02588
Q05080	DP02589
P47523	DP02590
P78362	DP02591
Q9H8Y8	DP02592
Q9ESJ0	DP02593
P63241	DP02594
Q04866	DP02596
O49195	DP02597
Q96H20	DP02598
Q86VN1	DP02599
P35916	DP02600
P70280	DP02602
P02533	DP02605
Q9UNA0	DP02607
Q8IUQ4	DP02608
Q96PY5	DP02609
P22449	DP02610
Q8N1G2	DP02611
Q8K368	DP02613
Q3MIT2	DP02614
O75817	DP02615
Q9BUL9	DP02616
P21575	DP02617
Q0WYX8	DP02619
Q14194	DP02620
P97427	DP02621
Q15113	DP02622
P42003	DP02623
P04775	DP02624
Q920Q2	DP02625
Q9QUG2	DP02626
O14958	DP02630
Q39026	DP02631
P31321	DP02632
P22605	DP02633
Q9UBV7	DP02634
Q9ERE3	DP02635
O88393	DP02636
P07237	DP02637
Q6ZPF4	DP02638
P78330	DP02639
Q4F883	DP02640
Q8GY88	DP02641
P53780	DP02642
Q9MAB9	DP02643
Q9SUM3	DP02644
Q9HC35	DP02645
P23457	DP02646
O95278	DP02647
Q8GXX0	DP02648
P30542	DP02651
Q96FQ6	DP02652
P61765	DP02653
Q9H5I1	DP02654
Q8ZQC8	DP02655
P08294	DP02656
O88483	DP02657
Q91ZW2	DP02659
Q9SKB2	DP02660
Q6ZVN8	DP02661
Q9VXJ0	DP02662
P0A9Q9	DP02663
Q81G39	DP02664
Q9Y5C1	DP02665
P41780	DP02667
Q44522	DP02668
Q57530	DP02669
P15848	DP02670
O35484	DP02672
P11926	DP02673
O14977	DP02675
Q9HD36	DP02676
O75936	DP02678
Q8R464	DP02679
P23280	DP02680
P13797	DP02682
Q9DBG5	DP02683
P53816	DP02684
P40999	DP02685
P24005	DP02687
Q54BW5	DP02689
F4JL28	DP02690
Q6R327	DP02692
Q9BPZ7	DP02693
Q8WUN7	DP02694
Q9FLN8	DP02696
Q02363	DP02697
P54687	DP02698
P0A8S9	DP02700
Q15631	DP02701
Q14995	DP02702
O00411	DP02703
P41214	DP02704
P45379	DP02705
Q9NXV2	DP02706
P25891	DP02707
P04035	DP02709
Q9BQ50	DP02710
Q9V6K1	DP02711
Q9H3P2	DP02712
P18615	DP02713
O60880	DP02714
P00452	DP02715
P0A873	DP02716
O95071	DP02717
Q53FT3	DP02719
P32357	DP02721
P33334	DP02722
Q8VDP3	DP02723
Q13838	DP02724
Q42521	DP02726
Q13526	DP02727
Q96EP1	DP02729
Q6P1M3	DP02730
P20340	DP02733
P07355	DP02735
Q04049	DP02736
Q9NWW9	DP02737
P08581	DP02738
P45352	DP02739
P08179	DP02740
P09951	DP02741
P06756	DP02742
Q92574	DP02744
P05231	DP02745
Q14565	DP02746
Q9GZN7	DP02747
P36871	DP02748
P09041	DP02749
P17109	DP02750
Q03653	DP02751
Q9S7B5	DP02754
Q69ZK9	DP02755
P21447	DP02756
Q13563	DP02758
P76216	DP02760
P25299	DP02761
Q9VI75	DP02763
Q13162	DP02764
Q14118	DP02765
P00558	DP02766
P09950	DP02768
P06782	DP02769
P01127	DP02770
P0DTC2	DP02772
Q9UPY3	DP02781
Q9NPI8	DP02782
P49189	DP02783
P16892	DP02784
P16278	DP02785
Q9Y823	DP02786
P45523	DP02787
Q62902	DP02789
Q8BTI9	DP02790
O08908	DP02791
P42337	DP02792
Q63716	DP02793
P22234	DP02794
Q9NV23	DP02795
Q56026	DP02796
P23771	DP02798
P34257	DP02799
P63028	DP02800
P05452	DP02801
Q921Z5	DP02802
Q96Q11	DP02803
P61587	DP02804
Q91WA6	DP02805
P0CY08	DP02806
P53927	DP02808
P53193	DP02809
Q8K419	DP02811
A6NI73	DP02812
P62330	DP02815
P48740-3	DP02816
Q64373	DP02817
Q62420	DP02819
Q62264	DP02820
Q8IVH8	DP02822
Q9UKY0	DP02823
Q14019	DP02824
P31153	DP02825
P40344	DP02826
Q9W058	DP02828
Q91YD9	DP02830
Q13164	DP02831
Q7L2J0	DP02832
Q9Y4F1	DP02833
Q9Y2Z0	DP02834
Q14849	DP02835
P24785	DP02836
P20807	DP02838
O43070	DP02839
O60934	DP02840
Q09683	DP02842
P47110	DP02847
P15436	DP02848
O60239	DP02850
P55197	DP02852
Q99P68	DP02853
Q9BYF1	DP02854
P11166	DP02855
P83916	DP02856
P18206-2	DP02858
P55211	DP02860
P08670	DP02862
P62558	DP02863
P83917	DP02864
P05205	DP02865
Q9Y5S9	DP02868
Q16630	DP02869
Q5D1E7	DP02871
P55789	DP02875
Q8N884	DP02876
Q8XAD5	DP02878
P59594	DP02879
K9N5Q8	DP02880
Q09428	DP02881
Q6A070	DP02882
F1QR43	DP02883
F1RE08	DP02884
Q10589	DP02885
Q5QGG3	DP02886
P62944	DP02887
Q70627	DP02888
P03407	DP02889
Q7K5N4	DP02890
Q3UND0	DP02892
Q9BZZ5-2	DP02894
Q96E14	DP02895
Q91VS8	DP02896
Q90VU7	DP02897
P35585	DP02898
P23873	DP02899
P0A968	DP02900
J7QA90	DP02901
P78953	DP02903
P53853	DP02908
P28023	DP02910
P04004	DP02913
P48443	DP02915
Q02521	DP02917
P17947	DP02918
Q9SQK3	DP02919
Q05753	DP02920
P26368	DP02921
P01215	DP02922
P33128	DP02923
P0C6X7	DP02924
P0DTD1	DP02925
A8BB85	DP02926
Q26997	DP02927
A0A220GHA5	DP02928
P0A2N1	DP02929
Q9Y6I3	DP02930
Q9RQJ2	DP02931
Q9KRE7	DP02933
Q8I2X3	DP02934
A0A0F7RL08	DP02935
A0A3S5Y0Q5	DP02936
O61130	DP02939
P07749	DP02940
P50490	DP02941
P63101	DP02943
Q96RD7	DP02945
Q2VL32	DP02946
O25555	DP02949
P0C079	DP02950
P01501	DP02951
Q12888	DP02954
O70200	DP02956
P47992	DP02957
Q55DL0	DP02958
P00880	DP02960
Q9SR19	DP02961
Q9SN68	DP02962
M0Y2D5	DP02964
F6IAY2	DP02965
Q9SU24	DP02966
Q05128	DP02967
Q44177	DP02968
P06734	DP02975
Q05193	DP02976
Q9BSQ5	DP02978
Q56WD9	DP02979
Q4V8K1	DP02980
P04275	DP02981
O01479	DP02982
Q9DEA6	DP02983
P09446	DP02984
P0A6Y8	DP02985
P63018	DP02986
Q22942	DP02987
P34704	DP02988
Q03611	DP02989
Q9U489	DP02990
Q9XTW2	DP02991
Q9RFD6	DP02993
Q84MC7	DP02995
P34808	DP02999
P59636	DP03002
P0DTC3	DP03003
P58004	DP03004
Q53TN4	DP03005
O95843	DP03006
P97784	DP03007
Q5D1E8	DP03010
P51787	DP03011
P40818	DP03012
P62137	DP03014
Q86XI6	DP03015
P11274	DP03016
P10565	DP03018
P30996	DP03019
O06522	DP03020
F2WK69	DP03021
I1WVY3	DP03022
P43528	DP03023
Q7B8V4	DP03024
A0A384E149	DP03026
Q81AN8	DP03027
A0A0H3GD84	DP03028
Q9ZKK2	DP03029
P76063	DP03032
Q48245	DP03034
P35269	DP03035
Q00653	DP03039
A8ULG6	DP03040
Q9JJW6	DP03043
P30429-2	DP03045
Q9J0X9	DP03046
O62301	DP03047
Q9XWJ1	DP03048
Q18235	DP03049
G5ED39	DP03050
Q06486	DP03052
P13199	DP03056
Q20728	DP03057
Q15059	DP03059
P60340	DP03060
P54132	DP03061
P40692	DP03062
P51400	DP03065
P34712	DP03069
Q8TEQ6	DP03070
P53420	DP03072
P0A910	DP03076
P76045	DP03078
P77667	DP03079
Q9Z214	DP03080
P0DJI8	DP03081
P05367	DP03082
Q0PF16	DP03085
Q20363	DP03090
P0AG86	DP03091
O00308	DP03092
Q9SSN3	DP03093
Q9SEL7	DP03094
Q9LFG2	DP03095
P02774	DP03098
P68135	DP03099
Q14258	DP03100
O44326	DP03102
P29590	DP03104
P34369	DP03106
Q23229	DP03107
P15374	DP03108
Q9BYI3	DP03109
Q9FIX2	DP03110
O23813	DP03111
P49235	DP03112
P30793	DP03118
P11686	DP03121
Q14691	DP03122
Q9BRX5	DP03123
O95835	DP03124
O14965	DP03125
Q9WTL8	DP03126
Q9R194	DP03127
O08679	DP03129
Q7KZI7	DP03130
Q96AE4	DP03131
Q9NPF0	DP03134
P35680	DP03135
Q4VP08	DP03139
O50008	DP03140
Q16667	DP03142
P49327	DP03143
Q05397	DP03144
P29317	DP03145
P41227	DP03148
Q9BXJ9	DP03149
Q99598	DP03150
Q13363	DP03151
P42574	DP03152
Q658P3	DP03153
P35207	DP03154
P01019	DP03155
P11859	DP03156
Q9UBR1	DP03159
S7W634	DP03160
Q8WVQ1	DP03161
O00299	DP03162
O15247	DP03163
Q9Y696	DP03164
P00519	DP03166
P00520	DP03167
P00519-2	DP03168
Q9NQC7	DP03169
Q8NBZ7	DP03170
Q16831	DP03171
Q9NRN7	DP03172
O14727	DP03173
Q3UKX1	DP03174
A1L1Q4	DP03175
Q10344	DP03176
Q8CJ26	DP03177
Q99250	DP03178
O95391	DP03179
Q03692	DP03180
Q17RS7	DP03182
P09919	DP03184
O75223	DP03185
P28325	DP03186
P43250	DP03187
P49257	DP03190
P55145	DP03191
Q15013	DP03192
P16869	DP03193
Q9HAV4	DP03195
Q8N1Q8	DP03196
P41209	DP03197
P62696	DP03198
P00749	DP03199
P04711	DP03200
Q96CV9	DP03201
P55210	DP03203
Q16629	DP03204
Q8IYB8	DP03206
Q8IYV9	DP03207
A6ND01	DP03209
Q9BRT9	DP03211
P0DTC9	DP03212
P69411	DP03213
O60508	DP03214
Q9H875	DP03215
Q96EQ8	DP03216
Q9XWG3	DP03217
O76463	DP03218
Q9U3N4	DP03219
P33316-2	DP03223
Q97W73	DP03224
P19957	DP03225
P30771	DP03226
P26447	DP03228
P05451	DP03229
P11940	DP03230
P15498	DP03231
Q7KZF4	DP03232
Q92900-2	DP03233
P49915	DP03234
P50148	DP03235
Q9UDY8	DP03236
Q9BZE9	DP03237
P55072	DP03238
P52874	DP03239
P0A8Q6	DP03240
P0ABH9	DP03241
P23588	DP03242
O75475	DP03246
Q96RJ3	DP03249
Q9UBW5	DP03250
Q8N300	DP03251
P08799	DP03253
P52848	DP03254
P16035	DP03255
P08253	DP03256
P03956	DP03257
O60568	DP03260
P75966	DP03261
P01009	DP03262
O80358	DP03263
P07477	DP03264
Q9FIC3	DP03267
Q682I1	DP03268
Q9C552	DP03269
Q00958	DP03270
P21580	DP03271
Q99835	DP03273
Q15276	DP03275
Q96PU8	DP03276
P18065	DP03278
Q08188	DP03279
P19827	DP03280
Q2MKA7	DP03281
Q8L3W1	DP03282
Q8GUI6	DP03284
Q8H1D4	DP03285
Q03479	DP03286
P13022	DP03287
P13021	DP03288
P0ACG8	DP03289
Q8RNT4	DP03290
Q9UK55	DP03291
P00742	DP03292
O43791	DP03293
P02760	DP03294
Q92854	DP03295
P60484	DP03296
P01034	DP03297
P63000	DP03298
P00734	DP03299
P31749	DP03300
P09237	DP03301
G5EFZ1	DP03302
Q8IW75	DP03303
P36952	DP03304
Q02297	DP03306
Q96MS0	DP03308
O60486	DP03309
Q3U4G3	DP03310
P00740	DP03311
P10619	DP03312
P00488	DP03313
Q06141	DP03314
P0ADC1	DP03315
P06149	DP03316
O16299	DP03317
Q95ZK7	DP03318
O17087	DP03319
Q94218-2	DP03322
P35052	DP03324
Q9SZF7	DP03325
P39286	DP03326
P05055	DP03327
P0AG67	DP03329
P0A705	DP03330
P0A8N3	DP03331
P0A3B2	DP03332
P0AFF6	DP03333
P42573	DP03335
P12996	DP03336
P0A9H7	DP03337
Q9A8N4	DP03338
O62479	DP03340
P0A9D4	DP03341
Q9HCB6	DP03343
P36955	DP03344
O00214	DP03345
P63090	DP03346
P10824	DP03347
Q5T1C6	DP03348
P03316	DP03350
P23677	DP03351
P05546	DP03353
P63144	DP03354
P0ABJ3	DP03355
A0A1L8HX71	DP03356
Q5SHN5	DP03357
Q92743	DP03358
P9WJD9	DP03359
Q56062	DP03360
Q8ZKB0	DP03361
B0Y813	DP03362
O05574	DP03363
Q15582	DP03364
P27469	DP03365
P53778	DP03366
P02400	DP03374
P20849	DP03378
P83110	DP03380
P98066	DP03382
Q8WVM7	DP03383
P20592	DP03385
Q9Y237-2	DP03386
Q9Y237-1	DP03387
P0AB38	DP03388
Q9UBT3	DP03389
Q2UZM9	DP03390
C9ZXG5	DP03391
J2EKT7	DP03393
O60493	DP03394
Q716H0	DP03396
P13051-1	DP03397
Q1HRL7	DP03398
P60484-2	DP03399
P18272	DP03401
J9V8B5	DP03402
P0A7G2	DP03406
Q61937	DP03409
Q91MK1	DP03410
Q61081	DP03411
P40949	DP03414
P10997	DP03417
Q96PU8-9	DP03418
A1B602	DP03419
P12464	DP03421
P25024	DP03426
P31327	DP03427
P40763	DP03428
P0AC88	DP03430
P0DTH5	DP03432
Q13153	DP03433
Q8I295	DP03434
P21109	DP03435
F7DSA5	DP03436
P28327	DP03439
P04968	DP03440
P59635	DP03442
Q9UPP1	DP03444
P0C066	DP03445
Q13177	DP03447
P56524	DP03448
P0DTC4	DP03450
P21675	DP03451
P51513	DP03453
Q9UBP0	DP03454
O00189	DP03455
P27635	DP03456
Q29502	DP03457
P0DMC7	DP03458
Q15542	DP03459
P0DTC7	DP03460
Q9T0N8	DP03465
E3T1W8	DP03466
Q709Q5	DP03467
Q8VZS8	DP03469
Q81GI3	DP03471
Q09535	DP03472
O94258	DP03473
Q81EJ6	DP03475
F1QCV2	DP03476
P20351	DP03479
P00392	DP03480
P10674	DP03481
P16243	DP03482
P05661	DP03483
Q9VKJ9	DP03485
P05031	DP03486
Q9GZZ9	DP03487
P18075	DP03490
Q8R426-2	DP03492
P22515	DP03496
P27361	DP03497
P06491	DP03498
Q04637-8	DP03499
P0AFC7	DP03500
P0AFD1	DP03501
P0AFD6	DP03502
P0AFE0	DP03503
P0AFC3	DP03504
Q77M43	DP03505
P33309	DP03506
K9MZ21	DP03509
P30328	DP03516
P03437	DP03517
P27284	DP03519
P15183	DP03520
Q58MU6	DP03521
C4LQ26	DP03523
P12504	DP03526
D2CPS8	DP03527
P69718	DP03528
Q9NP98	DP03529
P19554	DP03530
P49789	DP03531
Q68J44	DP03532
O95147	DP03533
P12520	DP03534
P69697	DP03535
Q05320	DP03537
P87666	DP03538
A0A097F4I8	DP03539
Q9DQX7	DP03541
P13699	DP03542
Q72500	DP03543
P08669	DP03544
P35256	DP03545
P35260	DP03546
P89522	DP03547
P05453	DP03548
Q703G9	DP03550
P22173	DP03551
P10636-2	DP03552
Q9UKK9	DP03554
P35813	DP03556
P04591	DP03558
P04610	DP03559
P20879	DP03560
P04613	DP03562
P04611	DP03563
P20893	DP03565
P22363	DP03566
P0DOF3	DP03567
Q8JXF6	DP03568
F0TTD6	DP03569
P03431	DP03572
A0A2Z5UJ33	DP03573
P03496	DP03575
F8UU09	DP03578
P03317	DP03592
P13887	DP03593
Q01484	DP03650
Q14318	DP03659
A0A5F9ZHA1	DP03660
Q12983	DP03666
P56962	DP03670
Q8TDY2	DP03671
O95197	DP03672
D0NBE6	DP03676
P35193	DP03677
P49023	DP03680
P55285	DP03681
Q13043	DP03682
Q13137	DP03683
P40458	DP03684
Q5ZUV9	DP03686
O00410	DP03687
Q6DD88	DP03688
P70365	DP03695
Q07820	DP03697
Q8NEB9	DP03710
Q9BXW4	DP03711
Q99623	DP03712
Q9H0E2	DP03713
Q12142	DP03714
Q02948	DP03715
P22219	DP03716
P22543	DP03717
Q05919	DP03718
O15392	DP03719
Q9W1M7	DP03721
A0A5P2U9X4	DP03725
P40939	DP03726
Q6CSX2	DP03728
Q8IYT8	DP03729
Q9UHK0	DP03731
A0A090N8E9	DP03755
P36888	DP03756
P26332	DP03760
Q9GU80	DP03761
A4HN55	DP03764
A0A109NYM0	DP03765
A4IDD0	DP03766
A4HV47	DP03767
A4IDD6	DP03768
A4HSQ5	DP03769
A4IBS2	DP03770
Q8WQM6	DP03771
D0AB09	DP03772
A0A024B7W1	DP03773
A0A504X6A3	DP03774
A0A3S7WPD8	DP03775
A0A504Y5E1	DP03776
Q9TXA6	DP03777
O44012	DP03778
A4IDS4	DP03779
D1M863	DP03780
Q6QDB5	DP03781
B5TV91	DP03782
Q4Q5S8	DP03783
Q4QCD2	DP03784
A0A175WC91	DP03786
A0A1B0XTC8	DP03787
A0A109PRQ3	DP03788
A0A1V0E2H9	DP03789
A9LID6	DP03790
Q26502	DP03791
G4VQX9	DP03792
Q6WVP6	DP03793
Q5SBG8	DP03794
E9BNI3	DP03795
Q4QDS0	DP03797
Q711P7	DP03798
Q9U5N6	DP03799
P42861	DP03800
O97193	DP03801
B6VDJ7	DP03809
Q9U4H7	DP03828
E9AD06	DP03850
P0ABK7	DP03852
P28307	DP03853
A0A6L0XH39	DP03870
O77299	DP03871
E9AE57	DP03879
P27913	DP03880
Q4Q159	DP03886
Q01782	DP03887
A0A2V2WGW5	DP03899
P16641	DP03900
A0A504XZ90	DP03901
A0A504WW14	DP03902
Q869A5	DP03903
Q8WQX9	DP03910
Q86C09	DP03911
